effective_date,added_ticker,added_security,removed_ticker,removed_security,reason
2012-04-23,PSX,Phillips 66,SVU,Supervalu,ConocoPhillips spun off Phillips 66
2012-04-03,FOSL,Fossil,MHS,Medco Health Solutions,Acquired by Express Scripts
2012-03-13,CCI,Crown Castle,CEG,Constellation Energy Group,Acquired by Exelon Corp
2011-12-31,WPX,WPX Energy,CPWR,Compuware,Market capitalization changes
2011-12-20,TRIP,TripAdvisor,TLAB,Tellabs,Expedia spun off TripAdvisor
2011-12-16,BWA,BorgWarner,AKS,AK Steel,Market capitalization changes
2011-12-16,PRGO,Perrigo,MWW,Monster Worldwide,Market capitalization changes
2011-12-16,DLTR,Dollar Tree,WFR,MEMC Electronic Materials,Market capitalization changes
2011-12-12,GAS,AGL Resources,GAS,Nicor Gas,"Nicor acquired by AGL, which retained the GAS ticker"
2011-11-18,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital market cap below threshold
2011-10-31,XYL,Xylem,ITT,ITT,Spun off from ITT Corp
2011-10-14,TEL,TE Connectivity,CEPH,Cephalon,Acquired by Teva Pharmaceutical
2011-09-23,MOS,The Mosaic Company,NSM,National Semiconductor,Acquired by Texas Instruments
2011-07-05,ACN,Accenture,MI,Marshall & Ilsley,Being bought by Bank of Montreal
2011-06-30,MPC,Marathon Oil,RSH,RadioShack,Market capitalization adjustments
2011-06-01,ANR,Alpha Natural Resources,MEE,Massey Energy,Alpha Natural Resources acquired Massey Energy
2011-04-27,CMG,Chipotle Mexican Grill,NOVL,Novell,Acquired by private equity firms
2011-04-01,BLK,BlackRock,GENZ,Genzyme,Acquired by Sanofi Aventis
2011-03-31,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink
2011-02-28,COV,Covidien,MFE,McAfee,Acquired by Intel
2011-02-25,JOYG,Joy Global,AYE,Allegheny Energy,Acquired by First Energy
2011-01-03,MMI,Motorola Mobility,MDP,Meredith Corp,Motorola spun off Motorola Mobility
2010-12-17,NFX,Newfield Exploration,NYT,The New York Times Company,Market Cap changes
2010-12-17,NFLX,Netflix,ODP,Office Depot,Market Cap changes
2010-12-17,FFIV,F5 Networks,EK,Eastman Kodak,Market Cap changes
2010-12-17,CVC,Cablevision,KG,King Pharmaceuticals,Acquired by Pfizer
2010-11-17,IR,Ingersoll-Rand,PTV,Pactiv,Reynolds Group Holdings acquired Pactiv
2010-08-26,TYC,Tyco International,SII,Smith International,Acquired by Schlumberger
2010-07-14,CB,Chubb,MIL,Millipore,Acquired by Merck KGaA
2010-06-30,QEP,QEP Resources,STR,Questar,"Company split, QEP retained, ticker changed"
2010-06-28,KMX,CarMax,XTO,XTO Energy,Acquired by ExxonMobil
2010-04-29,CERN,Cerner,BJS,BJ Services,Acquired by Baker Hughes
2010-02-26,HP,Helmerich & Payne,RX,IMS Health,Taken private
2009-12-18,ROST,Ross Stores,MBI,MBIA,Market capitalization change
2009-12-18,SAI,SAIC,CVG,Convergys,Market capitalization change
2009-12-18,CLF,Cliffs Natural Resources,KBH,KB Home,Market capitalization change
2009-12-18,MJN,Mead Johnson Nutrition,DYN,Dynegy,Market capitalization change
2009-12-18,V,Visa,CIEN,Ciena,Market capitalization change
2009-11-03,PCLN,Priceline.com,SGP,Schering-Plough,Acquired by Merck & Co
2009-09-28,ARG,Airgas,CBE,Cooper Industries,Redomesticated to Ireland
2009-08-19,FMC,FMC Corporation,CTX,Centex Corp,Centex acquired by Pulte Homes
2009-06-29,PCS,MetroPCS,,,PCS replaced TEL
2009-06-25,,,TEL,TE Connectivity,Tyco Electronics reincorporating in Switzerland
2009-06-05,FTI,FMC Technologies,COV,Covidien,Covidien moved incorporation to Ireland
2009-03-03,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance
2009-03-03,VTR,Ventas,JNY,Jones Apparel Group,Capitalization rebalance
